;TEXT
Tweet52;"Carlos ManatoPL
"
Tweet53;"Gov SC  Jorginho Mello PLDep Fed SC  Caroline De Toni PLDep Fed SC  Daniela Reinehr PLGov BA  João Roma PLSen BA  Raíssa Soares PLDep Fed BA  André Porciuncula PLGov ES  Carlos Manato PL
"
Tweet54;"Entre os candidatos do momento meus votos no Espírito Santo seriam Governador Carlos ManatoSenador Magno MaltaNomes disponíveis até o momento para federal e estadual no ESSoraya Manato  FEDERALTenente Assis  FEDERALMárcio Furtado  FEDERAL
"
Tweet55;"Précandidatos do Brasil que apoiam o presidente BolsonaroGov ES  Carlos Manato PLSen ES  Magno Malta PLDep Federal ES  Tenente Assis PTB Dep Estadual ES  Romulo Lacerda PTBGov RS  Onyx Lorenzoni PLSen RS  General Mourão PRBDep Fed RS  Marcelo Bagé PL
"
Tweet56;"Rigone Carlos Manato e Casagrande Contarato tem especulação
"
Tweet57;"Sen BA  Raíssa Soares PLDep Fed BA  André Porciuncula PLGov ES  Carlos Manato PLSen ES  Magno Malta PLDep Fed ES  Dárcio BracarenseGov SP  Tarcísio de Freitas PRBSen SP  Nise Yamaguchi PTBDep Fed SP  Marcos PontesDep Fed SP  Ricardo Salles
"
Tweet58;"Est RS  Rodrigo Lorenzoni PLDep Est RS  Capitão Macedo PLGov SC  Jorginho Mello PLDep Fed SC  Caroline De Toni PLDep Fed SC  Daniela Reinehr PLGov BA  João Roma PLSen BA  Raíssa Soares PLDep Fed BA  André Porciuncula PLGov ES  Carlos Manato PL
"
Tweet59;"Précandidatos do Brasil que apoiam o presidente BolsonaroSen BA  Raíssa Soares PLDep Fed BA  André Porciuncula PLGov ES  Carlos Manato PLSen ES  Magno Malta PLDep Fed ES  Dárcio BracarenseGov SP  Tarcísio de Freitas PRBSen SP  Nise Yamaguchi PTB
"
Tweet60;"Dep Fed RO  Coronel Chrisóstomo PL Gov BA  João Roma PLSen BA  Raíssa Soares PLDep Fed BA  André Porciuncula PLGov ES  Carlos Manato PLSen ES  Magno Malta PLDep Fed ES  Dárcio BracarenseGov PE  Anderson Ferreira PL
"
Tweet61;"O cara mais qualificado para ser governador do Espírito Santo é o Carlos Manato Magno Malta pra senador MagnoMalta Manatoesplnacional
"
Tweet62;"Candidato ao senado pelo Espírito Santo Junto com o Carlos Manato para governador Ambos com o apoio do presidente Bolsonaro
"
Tweet63;"Governador Carlos ManatoSenador Magno Malta
"
Tweet64;"Carlos Manato PL disse que respeita a decisão da nova diretoria regional do PTB de não apoiálo em eventual candidatura ao governo estadual Saiba mais
"
Tweet65;"Com o précandidato ao governo Carlos Manato em Itapemirim sul do Estado Estamos levando nossa mensagem para todos os municípios capixabas O projeto é reeleger Bolsonaro e renovar a representação política capixabaitapemirim
"
Tweet66;"Dr Carlos Manato bolsonarista amigo e futuro governador do Espírito Santo Seu nome é simplicidadeBolsonaroTemRazao Magnomalta MANATO
"
Tweet67;"Espero que Deus nos livra de ter vc como o governador do espírito santo Sou  Carlos manato
"
Tweet68;"Os bastidores sobre a filiação de Carlos Manato ao PL e sua précandidatura ao governo do ES Leia na coluna de hoje
"
Tweet69;"O exdeputado federal Carlos Manato sempre disse que gostaria de ir para a sigla à qual Jair Bolsonaro se filiasse O presidente optou pelo PL E foi para lá que Manato tentou ir Inicialmente encontrou as portas fechadas
"
Tweet70;"22 02 2022 PL partido de número 22 anuncia filiação de Carlos Manato httpsmovnewscombrpolitica20220222022022plpartidodenumero22anunciafiliacaodecarlosmanato… via MovNews
"
Tweet71;"CARLOS MANATOTAMOS JUNTOS
"
Tweet72;"Dr Carlos Manato Atende Lideranças da Ordem dos Empresários e Entra na Mobilização da Revitalização do Centro Histórico de Vitória ES em Vitória Espirito Santo
"
Tweet73;"Parece que no Espírito Santo está entre Carlos Manato e Erick Musso Tem informações sobre eles Ou o Bolsonaro tem outro nome para o ES
"
Tweet74;"Bolsonaro tem razão Carlos Manato Manatoes é o cara da vez Manato merece uma oportunidade de governar o Espírito Santo
"
Tweet75;"Tenente Assis ao lado do précandidato ao governo do Estado Carlos Manato coronel William com moradores e lideranças de Biriricas em Domingos Martins na bela região de montanhas do Espírito Santo
"
Tweet76;"É aquilo que o Carlos Manato disse
"
Tweet77;" Bolsonaro eleito no primeiro TURNO Eu já tenho governador Carlos Manato  eu já tenho Senador Magno Malta maranhaoestadual
"
Tweet78;"Meninotem o Mandato e o Audifaz Barcelos ex prefeito da Serramais preparado é o Audifaz que também já foi secretário no governo do Paulo Hartung foi um bom governadormas o Carlos Manato e apoiador do Bolsonaro
"
Tweet79;"Essa deputada e o marido dela Carlos Manato são boas aquisições
"
Tweet80;"Deputada federal é précandidata à reeleição O exdeputado Carlos Manato também recebeu convite do PTB
"
Tweet81;"São esses CALOTEIROS que vocês querem ver eleitos em 2022PECdosPrecatorios PECdoCalote PecDoCaloteNaomanato manato2022 carlosmanato sorayamanato mbl mblivres mbles mblivre libertarianismo liberalismo liberdade conservadorismo política políticacapixaba
"
Tweet82;"Magno malta bolsonaro e Carlos manato tudo lixo da história
"
Tweet83;"Exdeputado federal Carlos Manato sem partido que é précandidato ao governo do ES também pode ingressar na sigla 
"
Tweet84;"Filiação de Bolsonaro ao PL fortalece Magno Malta httpsleiaagaB73C4iw7wf  Presidente da República deve passar a integrar o Partido Liberal uma das principais siglas do Centrão conta lsgoncalves 
"
Tweet85;"Entrevista com Carlos Manato “Pretendo trabalhar no município com alta complexidade e diálise peritoneal”httpsfalandodepoliticavnicombr20211007entrevistacomcarlosmanatopretendotrabalharnomunicipiocomaltacomplexidadeedialiseperitoneal…
"
Tweet86;"PESQUISA ESHOJE Em uma possível disputa pelo cargo de Governador do estado do ES entre o atual Governador Renato Casagrande PSB o senador Fabiano Contarato Rede ou Carlos Manato sem partido  em quem você votaria
"
Tweet87;"Parabéns por ouvir seu Adversário Carlos Manato e implantar pelo menos um pseudo projeto de desenvolvimento socioeconômico Como dizia Manato expresidente do SebraeES Quem gera emprego é o pequeno negócio Os grandes estão é demitindo
"
Tweet88;"Para compartilhar mandando bem com Carlos Manato 2022
"
Tweet89;"No estado do ES existem dois nomes que gosto muito  Carlos Manato para governador e magno Malta para senador
"
Tweet90;"DeputadoManato CARLOS MANATO lembrese quem vota contra a população NÃO SE REELEGE Quero saúde educação serviços públicos de qualidade e principalmente RESPEITO aos servidores e servidoras do país Ainda dá tempo de defender o Brasil VOTE CONTRA a PEC 32
"
Tweet91;"DeputadoManato CARLOS MANATO lembrese quem vota contra a população NÃO SE REELEGE Quero saúde educação serviços públicos de qualidade e principalmente RESPEITO aos servidores e servidoras do país Ainda dá tempo de defender o Brasil VOTE CONTRA a PEC 32
"
Tweet92;"DeputadoManato CARLOS MANATO lembrese quem vota contra a população NÃO SE REELEGE Quero saúde educação serviços públicos de qualidade e principalmente RESPEITO aos servidores e servidoras do país Ainda dá tempo de defender o Brasil VOTE CONTRA a PEC 32
"
Tweet93;"Carlos Manato é a esperança de mudança na saúde segurança e educação
"
Tweet94;"A Deputada Dra Soraya Manato é esposa do futuro governador Carlos Manato você se referiu a ela como candidata ao Governo Ela também estaria preparada para ser governadora Um casal de médicos é tudo que precisamos para melhorar a caótica saúde capixaba
"
Tweet95;"Audifax é um político honesto mas muito comunista só complicou a vida dos empreededores O Estado precisa gerar empregos precisa de Carlos Manato
"
Tweet96;"Para governador eu não votaria no Audifax Barcelos que expulsou muitas empresas da Serra com sua burocracia infernal A Serra agora está gerando empregos de montão e vai gerar mais ainda com Carlos Manato no governo do Estado
"
Tweet97;"Defender Carlos Manato é muito fácil bastaria ler sua bibliografia de honestidade e trabalho
"
Tweet98;"Para quem mama nas tetas do Estado a melhor opção é o Casagrande Com Carlos Manato a mamata acabará e ninguém vai roubar
"
Tweet99;"Eu até votaria no Paulo Hartung se ele não fosse conhecido como o baianinho da Lava Jato Não sei qua é pior o atual ou o passado Nenhum dos dois investigados por corrupção merecem voltar Tem outro caminho o da Esperança de Mudança por isso sou mais Carlos Manato
"
Tweet100;"Carlos Manato é o único que tem um projeto de Estado que já está sendo discutido com a sociedade civil organizada Com visão empreededoa de que participou da gestão do Sebrae Manato é o novo caminho da Esperança de Mudança
"
Tweet101;"Hoje é aniversário de uma pessoa que respeito e admiro muito Esse é Carlos Manato Manatoes um líder cada dia mais necessário ao nosso Espírito SantoQue Deus esteja sempre iluminando o seu caminho guiando suas decisões Muita saúde e paz Parabéns autoridade Tmj 
"
Tweet102;"DeputadoManato Deputado Federal CARLOS MANATO os Correios estão presentes em todas as regiões do Brasil Se os Correios forem vendidos toda população será prejudicada Será um verdadeiro apagão postal Os Correios são lucrativos e registraram somente em 2020 cerca de R 15 bi
"
Tweet103;"DeputadoManato Deputado Federal CARLOS MANATO não aceitamos que os correios sejam vendido Por seu papel social e ser orgulho do povo brasileiro Correios é um patrimônio do Brasil Diga não à privatização VOTE NÃO AO PL 5912021
"
Tweet104;"2014  Renato Casagrande PSB ou Paulo Hartung PMDB2018  Carlos Manato PSL2022  Carlos Manato Sem Partido
"
Tweet105;"Nossa live da próxima segunda também será especialíssimaTeremos a presença de ninguém mais ninguém menos que CARLOS MANATO em nosso programaDia 1904  às 1930h  aqui no facebook
"
Tweet106;"OS ALVOSA pedido do contratante estão na lista de execução de reputação a cargo ElimarEx deputado federal Carlos ManatoDeputada federal Dra Soraya ManatoDeputado estadual Capitão AssunçãoDeputado estadual Carlos VonDeputado estadual Torino Marques 
"
Tweet107;"Carlos Manato abre o verbo contra Casagrande httpsfacebookcommanatoesvideos997343217705468…
"
Tweet108;"2022 vou de Jair Bolsonaro para presidente e Carlos Manato para governador do Espírito Santo BolsonaroAte2026
"
Tweet109;"O deputado federal Evair de Melo PP anunciou ontem que ele e o exdeputado Carlos Manato estarão juntos no ano que vem para dar palanque ao presidente BolsonaroConfira coluna Este conteúdo é exclusivo para assinantes
"
Tweet110;"marcosdoval ContaratoSenado carlosmanato amaronetotv Vocês foram votados para defender os interesses do povo e não para gozar dos privilégios
"
Tweet111;"No Espírito Santo a polarização sucessória entre o Bolsonarismo representando por Carlos Manato e o Lulismo de Casagrande está esquentando para 2022
"
Tweet112;"Os únicos meus q prestaram foramO presidente Bolsonaro e a Deputada Federal DraManato  Os outros Magno Malta Subtenente Assis Capitão Assumção e Carlos Manato infelizmente não se elegeram
"
Tweet113;"Casagrande melhorou a equipe com gente do quilate de Gilson Daniel que poderá disputar o Governo do Estado contra Carlos Manato caso o comunista continue despencando nas pesquisas
"
Tweet114;"CORREÇÃO Dra Soraya Manato PSL ES ESSA praga é daqui do Espírito Santo Esposa de Carlos Manato Ambos bolsonaristas
"
Tweet115;"Tira o Renato Casagrande daí e coloca o Carlos Manato ou Capitão Assumção no poder esses dois são bem melhores do que o Casagrande 
"
Tweet116;"Magno Malta Carlos Manato e Capitão Assumção
"
Tweet117;"Desejo a todos um ano novo de muita esperança paz e principalmente muita SAÚDE Boas festas a você e toda sua família Carlos Manato
"
