;TEXT
Tweet70;"É como um amigo meu me falou uma vezVc pode ser contra o Bolsonaro o seu governo e etcMas se acha que o Lula não é corrupto ou que foi preso injustamente e que a mídia não esta perseguindo o Bolsonaro vc esta errado
"
Tweet71;"Tua irmã
"
Tweet72;"JAIR FLOQUINHO DE NEVEBOLSONARO CHILIQUENTO
"
Tweet73;"Nunca viu Saia da bolha e veja Dirigentes históricos do PDT temem que partido seja arrastado para constrangimento histórico Leiase  beneficiar Bolsonaro Agora no estudioi
"
Tweet74;"Bolsonaro sanciona novas regras para o teletrabalho e auxílioalimentaçao 
"
Tweet75;"Triste mesmo deve ser a cadeia onde Ciro nunca esteve Busque na memória e vc verá que Bolsonaro é fruto da corrupção macabra do PT e de Lula Suporte essa verdade
"
Tweet76;"Ele é o que é porque o povo ama Bolsonaro
"
Tweet77;"Vai mudar a percepção da corrida eleitoral A elite se ilude sobre a popularidade de Lula e menospreza a popularidade do Bolsonaro Isso será revisto
"
Tweet78;"Fachin suspende decretos de Bolsonaro sobre armas httpsyoutube5YuE2u1zB8o via YouTube
"
Tweet79;"Bolsonaro perdia até para Marina no segundo turnoAgora perde até para TebetNinguém engole mais isso
"
Tweet80;"Ipec Lula segue isolado na liderança e Bolsonaro cai
"
Tweet81;"
"
Tweet82;"Camisinha para fazer o L ade Loola  Rindo até o Bolsonaro ganhar corre aqui IracemaHorta n vou rir sozinha 
"
Tweet83;"Nem a clozapina aguenta mais Bolsonaro
"
Tweet84;"Bolsonaro comprando votos que novidade
"
Tweet85;" Bolsonarista oferece dinheiro para quem acompanhar ato do 7 de Setembro Em grupos de WhatsApp o apoiador do presidente oferece ajuda de custo de 100 reais e ônibus confortável 0800httpsnoticiasuolcombrpoliticaultimasnoticias20220906corretordar100paraquemforao7desetembrocombolsonarodizjornalhtm…
"
Tweet86;"Jornalistas atacadas por Bolsonaro vergonha mundial
"
Tweet87;"atacadas 
"
Tweet88;"Y a BOLSONARO lo han disparado y no habéis dicho ni mu HIPÓCRITAS
"
Tweet89;"Nuestra más firme condena al intento de asesinato sufrido por Cristina Fernández en la madrugada del pasado viernes que tiene su origen en un proceso político judicial y mediático de hostigamiento y persecución que lleva sufriendo en los últimos tiempos PabloFdez
"
Tweet90;"httpsfbwatchfnjxUwFpevOBS EU NÃO APÓIO PARTIDO E NENHUM POLÍTICOMEU PARTIDO É O BRASILPOVO BRASILEIRO A VERDADE SENDO DITA PELO PRESENTE DA REPÚBLICA JAÍR MESSIAS BOLSONAROPUBLICA AÍ REDE GLOBO DATAFOLHA E MÍDIA TENDENCIOSA BRASILEIRA
"
Tweet91;"Pensei que era só meme mas consegui denunciar a conta do Ciro dizendo que ele tava fingindo ser o Bolsonaro HAHAHAHAHAHAHAHA
"
Tweet92;"Y Siches Mmmhla embajada en Brasil está disponible Podría ser buena comida calor playa por qué no Bolsonaro está lejos en medio del país así que está disponible para el sacrificio
"
Tweet93;"E mais 107 imóveis 51 com dinheiro vivo
"
Tweet94;"E você não se sente culpado por levar bolsonaro ao segundo turno
"
Tweet95;"Você quer é rola e não tá sabendo pedir
"
Tweet96;"João Gomes foi cancelado pelos bolsonaristas por se posicionar contra o Bolsonaro pediu desculpas e começou a seguir o Bolsonaro agora tá sendo cancelado pelos lulopetistas O cirogomes tem razão esses país tá doente
"
Tweet97;"Interessante né Amanda desbilhotar a vida do presidente BOLSONARO pode mas quando mexeu contigo aí ficou bravinha Derrepente Lula virou santo pra imprensa
"
Tweet98;"
"
